id,title,description,availability,link,image link,price,identifier exists,gtin,mpn,brand,condition,adult,color,size,gender,age group
B07YQ6A554,"Google Nest Mini (2nd Generation) - Smart Speaker with Google Assistant","Meet the second-generation Nest Mini, the smart speaker you control with your voice. Just say ""Hey Google"" to play your favorite music, get answers to your questions, and more. It's bigger and richer sound in a compact design.",in_stock,http://www.example.com/nest_mini_chalk,http://www.example.com/nest_mini_chalk.jpg,49.99 USD,yes,193575000215,GA00638-US,Google,new,no,Chalk,,unisex,adult
TS-GGL-TEE-M,"Google Logo T-Shirt - Men's Medium","Show your love for Google with this classic 100% cotton t-shirt. Featuring the iconic Google logo, this comfortable and durable tee is perfect for everyday wear.",in_stock,http://www.example.com/google_tee_men_m,http://www.example.com/google_tee_men_m.jpg,24.99 USD,yes,,TS-GGL-TEE-M,Google,new,no,White,M,male,adult
B0964W6P1P,"Google Nest Hub (2nd Generation) - Smart Display","The Nest Hub (2nd Gen) helps you stay connected and entertained with its smart display and Google Assistant.",in_stock,http://www.example.com/nest_hub_2gen,http://www.example.com/nest_hub_2gen.jpg,99.99 USD,yes,193575000222,GA01331-US,Google,new,no,Chalk,,unisex,adult
PXL7A-CORAL,"Google Pixel 7a - Unlocked Android Smartphone","Experience the power of Google Tensor G2 in a budget-friendly phone with an amazing camera.",in_stock,http://www.example.com/pixel_7a_coral,http://www.example.com/pixel_7a_coral.jpg,499.00 USD,yes,840244700018,GHL16,Google Pixel,new,no,Coral,,unisex,adult
HD-GGL-UNI-L,"Google Logo Hoodie - Unisex Large","Stay warm and stylish with this comfortable Google logo hoodie, perfect for any casual occasion.",in_stock,http://www.example.com/google_hoodie_l,http://www.example.com/google_hoodie_l.jpg,59.99 USD,yes,,HD-GGL-UNI-L,Google,new,no,Grey,L,unisex,adult
PXLBUDS-PRO-BLK,"Google Pixel Buds Pro - Noise-Canceling Earbuds","Immerse yourself in sound with Pixel Buds Pro, featuring active noise cancellation and clear calls.",in_stock,http://www.example.com/pixel_buds_pro_black,http://www.example.com/pixel_buds_pro_black.jpg,199.99 USD,yes,840244700056,GA03203-US,Google Pixel,new,no,Charcoal,,unisex,adult
CHRMCAST-HD,"Google Chromecast with Google TV (HD)","Stream your favorite entertainment in HD with Google TV, bringing you movies, shows, and live TV.",in_stock,http://www.example.com/chromecast_hd,http://www.example.com/chromecast_hd.jpg,29.99 USD,yes,193575000253,GA01919-US,Google,new,no,Snow,,unisex,adult
PXLWAT-BLK-L,"Google Pixel Watch - Bluetooth/Wi-Fi, Large Band","Get help at a glance, track health, and stay connected with the elegant Google Pixel Watch.",in_stock,http://www.example.com/pixel_watch_l,http://www.example.com/pixel_watch_l.jpg,349.99 USD,yes,840244700094,GA03303-US,Google Pixel,new,no,Matte Black,L,unisex,adult
CASE-PXL7A-BLK,"Google Pixel 7a Case - Black","Protect your Pixel 7a with this durable and stylish black case, designed for a perfect fit.",in_stock,http://www.example.com/pixel_7a_case_black,http://www.example.com/pixel_7a_case_black.jpg,29.99 USD,yes,,CASE-PXL7A-BLK,Google Pixel,new,no,Black,,unisex,adult
MUG-GGL-LOGO,"Google Logo Coffee Mug - 11oz","Start your day with a cup of coffee in this classic 11oz Google logo mug.",in_stock,http://www.example.com/google_mug,http://www.example.com/google_mug.jpg,14.99 USD,yes,,MUG-GGL-LOGO,Google,new,no,White,,unisex,adult
NTPK-GGL-ICON,"Google Icon Notebook and Pen Set","Jot down your ideas with this Google-branded notebook and pen set, perfect for office or home.",in_stock,http://www.example.com/google_notebook,http://www.example.com/google_notebook.jpg,19.99 USD,yes,,NTPK-GGL-ICON,Google,new,no,Blue,,unisex,adult
TEE-GGL-WOM-S,"Google Logo T-Shirt - Women's Small","A comfortable and fashionable Google logo t-shirt, tailored for women.",in_stock,http://www.example.com/google_tee_women_s,http://www.example.com/google_tee_women_s.jpg,24.99 USD,yes,,TEE-GGL-WOM-S,Google,new,no,Navy,S,female,adult
CAP-GGL-BLK,"Google Logo Baseball Cap - Black","Sport a classic look with this adjustable Google logo baseball cap.",in_stock,http://www.example.com/google_cap_black,http://www.example.com/google_cap_black.jpg,19.99 USD,yes,,CAP-GGL-BLK,Google,new,no,Black,,unisex,adult
NEST-CAM-BAT,"Google Nest Cam (Battery) - Outdoor/Indoor Security Camera","Keep an eye on what matters with the versatile, battery-powered Nest Cam.",in_stock,http://www.example.com/nest_cam_battery,http://www.example.com/nest_cam_battery.jpg,179.99 USD,yes,193575000284,GA02096-US,Google Nest,new,no,Snow,,unisex,adult
THERM-NEST,"Google Nest Thermostat - Smart Home Temperature Control","Save energy and stay comfortable with the smart Nest Thermostat.",in_stock,http://www.example.com/nest_thermostat,http://www.example.com/nest_thermostat.jpg,129.99 USD,yes,193575000291,GA01334-US,Google Nest,new,no,Charcoal,,unisex,adult
CHRG-30W-USB,"Google 30W USB-C Charger","Fast charge your Pixel phone and other USB-C devices with this powerful adapter.",in_stock,http://www.example.com/google_30w_charger,http://www.example.com/google_30w_charger.jpg,25.00 USD,yes,840244700032,GA02410-US,Google,new,no,White,,unisex,adult
CBL-USB-C-2M,"Google USB-C to USB-C Cable (2m)","A durable 2-meter USB-C to USB-C cable for charging and data transfer.",in_stock,http://www.example.com/google_usb_c_cable,http://www.example.com/google_usb_c_cable.jpg,19.99 USD,yes,840244700039,GA02411-US,Google,new,no,White,,unisex,adult
KEYCH-GGL,"Google Logo Keychain","A sleek metal keychain featuring the iconic Google logo.",in_stock,http://www.example.com/google_keychain,http://www.example.com/google_keychain.jpg,9.99 USD,yes,,KEYCH-GGL,Google,new,no,Silver,,unisex,adult
BTL-GGL-WTR,"Google Branded Water Bottle - 20oz","Stay hydrated on the go with this Google-branded stainless steel water bottle.",in_stock,http://www.example.com/google_water_bottle,http://www.example.com/google_water_bottle.jpg,22.99 USD,yes,,BTL-GGL-WTR,Google,new,no,Black,,unisex,adult
SOCKS-GGL-BLK-M,"Google Logo Socks - Men's Medium","Comfortable black socks with a subtle Google logo.",in_stock,http://www.example.com/google_socks_m,http://www.example.com/google_socks_m.jpg,12.99 USD,yes,,SOCKS-GGL-BLK-M,Google,new,no,Black,M,male,adult
PLAY-GC-25,"Google Play Gift Card - $25","Unlock apps, games, movies, and more on Google Play with a $25 gift card.",in_stock,http://www.example.com/google_play_gc_25,http://www.example.com/google_play_gc_25.jpg,25.00 USD,yes,840244700046,GGC-25,Google,new,no,,,unisex,adult
PXL7-BLK-128,"Google Pixel 7 - Unlocked 128GB Smartphone","Capture stunning photos and enjoy powerful performance with the Google Pixel 7.",in_stock,http://www.example.com/pixel_7_black,http://www.example.com/pixel_7_black.jpg,599.00 USD,yes,840244700025,GVU6C,Google Pixel,new,no,Obsidian,,unisex,adult
TS-GGL-TEE-L,"Google Logo T-Shirt - Men's Large","Classic 100% cotton t-shirt with Google logo, size large.",in_stock,http://www.example.com/google_tee_men_l,http://www.example.com/google_tee_men_l.jpg,24.99 USD,yes,,TS-GGL-TEE-L,Google,new,no,White,L,male,adult
B07YQ6A556,"Google Nest Mini (2nd Generation) - Smart Speaker with Google Assistant","Meet the second-generation Nest Mini, the smart speaker you control with your voice. Bigger and richer sound.",in_stock,http://www.example.com/nest_mini_charcoal,http://www.example.com/nest_mini_charcoal.jpg,49.99 USD,yes,193575000216,GA00639-US,Google,new,no,Charcoal,,unisex,adult
TS-GGL-TEE-XL,"Google Logo T-Shirt - Men's X-Large","Classic 100% cotton t-shirt with Google logo, size X-Large.",in_stock,http://www.example.com/google_tee_men_xl,http://www.example.com/google_tee_men_xl.jpg,24.99 USD,yes,,TS-GGL-TEE-XL,Google,new,no,White,XL,male,adult
HD-GGL-UNI-M,"Google Logo Hoodie - Unisex Medium","Comfortable Google logo hoodie, size medium, for everyday wear.",in_stock,http://www.example.com/google_hoodie_m,http://www.example.com/google_hoodie_m.jpg,59.99 USD,yes,,HD-GGL-UNI-M,Google,new,no,Grey,M,unisex,adult
PXLBUDS-PRO-FOG,"Google Pixel Buds Pro - Noise-Canceling Earbuds","Immerse yourself in sound with Pixel Buds Pro, featuring active noise cancellation.",in_stock,http://www.example.com/pixel_buds_pro_fog,http://www.example.com/pixel_buds_pro_fog.jpg,199.99 USD,yes,840244700057,GA03204-US,Google Pixel,new,no,Fog,,unisex,adult
CHRMCAST-4K,"Google Chromecast with Google TV (4K)","Stream your favorite entertainment in stunning 4K HDR with Google TV.",in_stock,http://www.example.com/chromecast_4k,http://www.example.com/chromecast_4k.jpg,49.99 USD,yes,193575000254,GA01919-US,Google,new,no,Snow,,unisex,adult
